pred_probs_arrivals,mean_p_arrivals,capacity_arrivals,trial,date
102.0,106.0,77.0,1,2017-04-23
98.0,96.0,65.0,1,2017-03-26
77.0,77.0,63.0,1,2017-04-14
83.0,81.0,62.0,1,2017-04-16
94.0,98.0,80.0,1,2017-04-09
83.0,82.0,60.0,1,2017-05-04
77.0,83.0,72.0,1,2017-04-30
69.0,67.0,55.0,1,2017-04-21
96.0,99.0,73.0,1,2017-04-29
84.0,79.0,73.0,1,2017-05-06
95.0,85.0,77.0,1,2017-05-02
77.0,75.0,50.0,1,2017-04-26
83.0,91.0,67.0,1,2017-05-11
98.0,98.0,78.0,1,2017-04-28
88.0,106.0,64.0,1,2017-05-01
84.0,95.0,73.0,1,2017-05-03
83.0,85.0,73.0,1,2017-05-12
79.0,83.0,66.0,1,2017-04-22
80.0,91.0,62.0,1,2017-05-05
84.0,88.0,62.0,1,2017-05-17
69.0,83.0,62.0,1,2017-05-10
75.0,63.0,61.0,1,2017-05-15
86.0,91.0,80.0,1,2017-05-22
77.0,88.0,58.0,1,2017-05-09
89.0,86.0,70.0,1,2017-05-21
86.0,93.0,71.0,1,2017-05-16
92.0,90.0,73.0,1,2017-05-25
94.0,96.0,76.0,1,2017-05-07
93.0,104.0,71.0,1,2017-05-23
95.0,106.0,82.0,1,2017-05-08
86.0,97.0,75.0,1,2017-04-15
92.0,108.0,82.0,1,2017-05-31
94.0,95.0,76.0,1,2017-05-14
94.0,95.0,75.0,1,2017-05-19
83.0,90.0,75.0,1,2017-05-13
89.0,97.0,78.0,1,2017-05-26
91.0,100.0,73.0,1,2017-06-01
97.0,95.0,78.0,1,2017-05-18
87.0,92.0,80.0,1,2017-03-13
74.0,87.0,54.0,1,2017-06-02
64.0,73.0,61.0,1,2017-05-20
90.0,92.0,73.0,1,2017-06-05
73.0,83.0,71.0,1,2017-06-07
80.0,91.0,56.0,1,2017-06-09
75.0,78.0,67.0,1,2017-06-04
90.0,90.0,58.0,1,2017-06-11
89.0,112.0,80.0,1,2017-06-06
93.0,110.0,84.0,1,2017-05-30
78.0,93.0,72.0,1,2017-05-24
99.0,97.0,72.0,1,2017-06-08
102.0,112.0,90.0,1,2017-05-27
86.0,102.0,62.0,1,2017-06-16
90.0,113.0,82.0,1,2017-06-12
79.0,83.0,66.0,1,2017-04-01
83.0,83.0,53.0,1,2017-06-03
71.0,71.0,51.0,1,2017-06-13
95.0,104.0,85.0,1,2017-06-20
97.0,105.0,75.0,1,2017-05-29
96.0,94.0,76.0,1,2017-06-25
92.0,102.0,75.0,1,2017-06-28
90.0,81.0,75.0,1,2017-06-30
79.0,95.0,71.0,1,2017-06-27
78.0,86.0,61.0,1,2017-06-21
86.0,86.0,67.0,1,2017-06-26
100.0,106.0,84.0,1,2017-06-19
95.0,104.0,82.0,1,2017-06-29
90.0,102.0,79.0,1,2017-07-05
87.0,101.0,71.0,1,2017-07-01
70.0,72.0,65.0,1,2017-07-06
82.0,78.0,61.0,1,2017-04-25
82.0,100.0,71.0,1,2017-07-10
94.0,94.0,81.0,1,2017-07-08
85.0,97.0,73.0,1,2017-06-17
73.0,70.0,61.0,1,2017-06-18
94.0,104.0,77.0,1,2017-07-07
93.0,96.0,76.0,1,2017-06-10
76.0,77.0,60.0,1,2017-06-22
78.0,85.0,62.0,1,2017-06-15
83.0,87.0,66.0,1,2017-07-13
93.0,104.0,82.0,1,2017-06-23
87.0,91.0,70.0,1,2017-07-15
82.0,94.0,68.0,1,2017-07-18
69.0,83.0,48.0,1,2017-07-11
82.0,86.0,58.0,1,2017-07-17
80.0,82.0,63.0,1,2017-04-02
95.0,102.0,78.0,1,2017-07-19
104.0,115.0,81.0,1,2017-07-02
92.0,101.0,81.0,1,2017-06-24
97.0,106.0,79.0,1,2017-07-23
94.0,91.0,74.0,1,2017-07-12
83.0,97.0,70.0,1,2017-07-03
80.0,76.0,62.0,1,2017-07-09
107.0,103.0,79.0,1,2017-06-14
101.0,108.0,84.0,1,2017-07-28
105.0,110.0,92.0,1,2017-07-24
89.0,90.0,65.0,1,2017-05-28
80.0,89.0,66.0,1,2017-07-31
107.0,98.0,76.0,1,2017-07-29
86.0,91.0,67.0,1,2017-07-04
94.0,105.0,78.0,1,2017-07-26
102.0,110.0,79.0,1,2017-07-20
94.0,96.0,76.0,1,2017-07-25
103.0,100.0,82.0,1,2017-07-16
74.0,77.0,73.0,1,2017-08-02
98.0,111.0,83.0,1,2017-08-10
108.0,115.0,88.0,1,2017-08-13
86.0,96.0,66.0,1,2017-08-14
102.0,113.0,85.0,1,2017-08-01
92.0,91.0,74.0,1,2017-07-30
94.0,105.0,81.0,1,2017-08-08
86.0,93.0,74.0,1,2017-08-09
82.0,85.0,80.0,1,2017-07-22
88.0,102.0,80.0,1,2017-08-17
102.0,109.0,81.0,1,2017-08-15
103.0,115.0,86.0,1,2017-08-04
101.0,114.0,80.0,1,2017-08-05
97.0,116.0,88.0,1,2017-07-27
103.0,104.0,84.0,1,2017-07-14
87.0,88.0,74.0,1,2017-08-07
107.0,107.0,82.0,1,2017-08-19
109.0,123.0,92.0,1,2017-08-26
115.0,125.0,97.0,1,2017-08-23
107.0,105.0,81.0,1,2017-08-21
109.0,122.0,86.0,1,2017-08-18
109.0,120.0,93.0,1,2017-08-25
117.0,129.0,100.0,1,2017-08-29
99.0,110.0,90.0,1,2017-08-03
101.0,110.0,79.0,1,2017-07-21
104.0,115.0,91.0,1,2017-08-20
120.0,129.0,100.0,1,2017-08-30
92.0,108.0,87.0,1,2017-08-24
112.0,124.0,92.0,1,2017-08-06
103.0,110.0,83.0,1,2017-08-11
104.0,111.0,91.0,1,2017-08-12
108.0,117.0,91.0,1,2017-08-16
110.0,123.0,95.0,1,2017-08-22
119.0,129.0,100.0,1,2017-08-27
119.0,129.0,100.0,1,2017-08-28
129.0,129.0,100.0,1,2017-08-31
85.0,84.0,70.0,2,2016-10-31
103.0,101.0,76.0,2,2016-11-04
94.0,96.0,74.0,2,2016-11-07
95.0,93.0,76.0,2,2016-11-14
74.0,63.0,49.0,2,2016-11-13
93.0,100.0,72.0,2,2016-11-10
89.0,90.0,67.0,2,2016-10-30
88.0,88.0,61.0,2,2016-11-15
74.0,50.0,37.0,2,2016-11-21
100.0,104.0,85.0,2,2016-11-03
104.0,98.0,73.0,2,2016-11-11
82.0,77.0,67.0,2,2016-11-16
90.0,76.0,50.0,2,2016-11-09
92.0,91.0,64.0,2,2016-11-12
95.0,88.0,82.0,2,2016-11-19
93.0,103.0,79.0,2,2016-11-28
81.0,81.0,54.0,2,2016-11-30
92.0,82.0,73.0,2,2016-11-24
86.0,89.0,65.0,2,2016-11-17
77.0,54.0,40.0,2,2016-12-02
96.0,83.0,62.0,2,2016-12-05
89.0,61.0,40.0,2,2016-11-02
85.0,99.0,68.0,2,2016-11-22
88.0,81.0,65.0,2,2016-12-06
91.0,57.0,49.0,2,2016-12-07
76.0,57.0,54.0,2,2016-12-12
80.0,71.0,47.0,2,2016-12-14
86.0,86.0,72.0,2,2016-11-01
87.0,88.0,61.0,2,2016-11-23
100.0,95.0,76.0,2,2016-12-01
84.0,95.0,62.0,2,2016-11-08
102.0,100.0,75.0,2,2016-11-29
88.0,72.0,44.0,2,2016-12-13
92.0,93.0,79.0,2,2016-12-03
83.0,79.0,63.0,2,2016-12-19
96.0,85.0,69.0,2,2016-12-16
85.0,51.0,34.0,2,2016-12-21
83.0,77.0,59.0,2,2016-12-15
84.0,85.0,64.0,2,2016-12-20
78.0,82.0,69.0,2,2016-12-11
101.0,83.0,74.0,2,2016-12-18
71.0,48.0,42.0,2,2016-12-09
86.0,81.0,63.0,2,2016-12-10
95.0,90.0,70.0,2,2016-12-28
79.0,73.0,70.0,2,2016-11-06
94.0,83.0,65.0,2,2016-11-27
